Ranking,Puntaje,MoH,Clase,Region
1,100,H,SI,NO
2,100,H,SI,SI
3,99,M,SI,SI
4,98,H,SI,NO
5,97,M,NO,SI
6,96,M,SI,SI
7,94,H,SI,SI
8,94,H,SI,SI
9,93,H,NO,SI
10,93,M,NO,SI
11,92,M,SI,NO
12,91,H,NO,SI
13,90,H,NO,SI
14,88,M,NO,NO
15,88,M,NO,NO
16,88,H,NO,NO
17,87,M,NO,NO
18,86,H,SI,SI
19,85,H,NO,NO
20,85,H,NO,NO
21,85,M,NO,SI
22,84,M,SI,SI
23,83,M,SI,NO
24,83,M,SI,SI
25,81,M,NO,NO
26,79,H,NO,NO
27,79,H,SI,NO
28,78,H,NO,SI
29,76,H,SI,SI
30,75,H,SI,NO
31,75,H,NO,NO
32,74,H,NO,SI
33,74,H,SI,SI
34,73,M,NO,NO
35,73,H,NO,NO
36,73,M,SI,NO
37,71,H,NO,SI
38,71,H,NO,SI
39,70,M,NO,SI
40,70,H,NO,NO
41,68,M,NO,SI
42,68,H,NO,NO
43,66,H,NO,SI
44,65,H,SI,SI
45,64,M,SI,SI
46,64,H,NO,NO
47,64,M,SI,NO
48,63,H,NO,SI
49,63,H,SI,NO
50,61,H,NO,NO
51,61,H,SI,SI
52,61,M,NO,NO
53,60,H,NO,NO
54,56,H,NO,SI
55,54,H,NO,NO
56,53,M,SI,NO
57,53,H,NO,NO
58,52,M,NO,SI
59,52,H,NO,SI
60,46,H,SI,SI
61,45,H,NO,NO
62,44,M,SI,NO
63,42,M,NO,NO
64,40,M,NO,NO
65,39,M,SI,NO
66,35,M,SI,SI
67,35,M,SI,SI
68,35,H,NO,NO
69,34,M,SI,SI
70,34,H,SI,NO
71,33,H,SI,SI
72,32,H,NO,SI
73,30,H,NO,NO
74,28,M,NO,SI
75,27,H,SI,SI
76,26,M,SI,SI
77,26,H,SI,SI
78,25,M,SI,SI
79,23,M,SI,SI
80,22,M,SI,NO
81,21,M,NO,SI
82,21,M,SI,SI
83,20,M,NO,SI
84,19,M,SI,SI
85,18,H,SI,NO
86,18,M,NO,SI
87,18,H,SI,NO
88,17,H,SI,SI
89,14,H,NO,NO
90,12,M,NO,SI
91,11,H,NO,SI
92,8,M,NO,SI
93,7,H,SI,SI
94,7,M,SI,SI
95,6,H,SI,NO
96,4,M,NO,NO
97,4,M,NO,NO
98,3,M,SI,SI
99,3,H,SI,NO
100,2,M,NO,NO
